,layer_type,energy_function,flow_length,elbo
0,radialflow,u1,2,-1.4781619310379028
1,radialflow,u1,8,-1.0601290464401245
2,radialflow,u1,32,-0.39002519845962524
3,radialflow,u2,2,-0.8877487778663635
4,radialflow,u2,8,-0.7571101188659668
5,radialflow,u2,32,-0.36773771047592163
6,radialflow,u3,2,-1.1041191816329956
7,radialflow,u3,8,-0.9978172183036804
8,radialflow,u3,32,-0.6579475998878479
9,radialflow,u4,2,-1.4631112813949585
10,radialflow,u4,8,-1.3667762279510498
11,radialflow,u4,32,-1.1915490627288818
12,planarflow,u1,2,-0.865998387336731
13,planarflow,u1,8,-1.1089015007019043
14,planarflow,u1,32,-0.9114954471588135
15,planarflow,u2,2,-1.6507644653320312
16,planarflow,u2,8,-1.48698091506958
17,planarflow,u2,32,-0.7262852191925049
18,planarflow,u3,2,-1.5823311805725098
19,planarflow,u3,8,-1.3970115184783936
20,planarflow,u3,32,-0.9169828295707703
21,planarflow,u4,2,-2.0347683429718018
22,planarflow,u4,8,-1.7694059610366821
23,planarflow,u4,32,-1.2609410285949707
24,niceorthogonal,u1,2,1.3337701559066772
25,niceorthogonal,u1,8,0.010003769770264626
26,niceorthogonal,u1,32,0.9193892478942871
27,niceorthogonal,u2,2,-0.7568488717079163
28,niceorthogonal,u2,8,0.5653562545776367
29,niceorthogonal,u2,32,1.8003504276275635
30,niceorthogonal,u3,2,-1.0675634145736694
31,niceorthogonal,u3,8,-0.6623021960258484
32,niceorthogonal,u3,32,0.41783690452575684
33,niceorthogonal,u4,2,-1.3780722618103027
34,niceorthogonal,u4,8,-0.5822151899337769
35,niceorthogonal,u4,32,1.1101813316345215
36,nicepermutation,u1,2,-0.40512555837631226
37,nicepermutation,u1,8,0.11076822131872177
38,nicepermutation,u1,32,0.5290809869766235
39,nicepermutation,u2,2,-0.8174141645431519
40,nicepermutation,u2,8,0.5294151902198792
41,nicepermutation,u2,32,1.0008089542388916
42,nicepermutation,u3,2,-1.292824149131775
43,nicepermutation,u3,8,-0.5679799914360046
44,nicepermutation,u3,32,-0.29077857732772827
45,nicepermutation,u4,2,-1.3999296426773071
46,nicepermutation,u4,8,-0.6319007277488708
47,nicepermutation,u4,32,-0.33769819140434265
48,niceorthogonaldiag,u1,2,1.3227553367614746
49,niceorthogonaldiag,u1,8,-0.6768632531166077
50,niceorthogonaldiag,u1,32,0.4425611197948456
51,niceorthogonaldiag,u2,2,-4.147261619567871
52,niceorthogonaldiag,u2,8,-0.8932642936706543
53,niceorthogonaldiag,u2,32,1.0700697898864746
54,niceorthogonaldiag,u3,2,-4.545039176940918
55,niceorthogonaldiag,u3,8,-1.5168911218643188
56,niceorthogonaldiag,u3,32,-0.10484042018651962
57,niceorthogonaldiag,u4,2,-4.779809474945068
58,niceorthogonaldiag,u4,8,-1.7819864749908447
59,niceorthogonaldiag,u4,32,0.4055703580379486
60,nicepermutationdiag,u1,2,1.2826305627822876
61,nicepermutationdiag,u1,8,-0.7803962230682373
62,nicepermutationdiag,u1,32,-0.00416131317615509
63,nicepermutationdiag,u2,2,-4.043605804443359
64,nicepermutationdiag,u2,8,-1.0777760744094849
65,nicepermutationdiag,u2,32,0.4498193860054016
66,nicepermutationdiag,u3,2,-4.570592880249023
67,nicepermutationdiag,u3,8,-1.3606802225112915
68,nicepermutationdiag,u3,32,-0.5666985511779785
69,nicepermutationdiag,u4,2,-4.779444217681885
70,nicepermutationdiag,u4,8,-1.8197599649429321
71,nicepermutationdiag,u4,32,-0.7479588985443115
